Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,infra_tipo,infra_descripcion,infra_interes,infra_senalizacion_externa,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,85943,4,false,false,,PEUIM00205,,2010-08-04T22:00:00Z,1995-05-29T22:00:00Z,1,52,Vigilancia de caza,false,false,POINT (-5.333467440338286 43.0273576535891)
,,,,,,-1,-1,-1,,,84502,4,false,false,,MSTIM00011,Paso canadiense incluyendo dos mochetones con tablillas informativas de coto de setas que han sido pintadas de negro.,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,35,,false,false,POINT (-3.023847493545027 42.955161910386771)
,,,,,,-1,-1,-1,,,84503,4,false,false,,MSTIM00012,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.001595955545034 42.943106295684053)
,,,,,,-1,-1,-1,,,84504,4,false,false,,MSTIM00013,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.000406997344895 42.942277838480024)
,,,,,,-1,-1,-1,,,84505,4,false,false,,MSTIM00014,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.000505053252207 42.94218778725547)
,,,,,,-1,-1,-1,,,84506,4,false,false,,MSTIM00015,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.000774702305751 42.941683501052047)
,,,,,,-1,-1,-1,,,84507,4,false,false,,MSTIM00016,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.000811474849017 42.94180957197549)
,,,,,,-1,-1,-1,,,84508,4,false,false,,MSTIM00017,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.000835988824083 42.941809571799105)
,,,,,,-1,-1,-1,,,84509,4,false,false,,MSTIM00018,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.001105639810443 42.941656483081239)
,,,,,,-1,-1,-1,,,84510,4,false,false,,MSTIM00019,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.001044356090062 42.941719519246554)
